001976,12/31/2011,2011,C,INDL,STD,D,USD,A,BAKER HUGHES INC,.,19831.0000,57.7000
001979,12/31/2011,2011,C,INDL,STD,D,USD,A,BALCHEM CORP  -CL B,.,291.8670,0.3650
001982,12/31/2011,2011,C,INDL,STD,D,USD,A,BALDWIN & LYONS  -CL B,.,265.4840,0.3300
001988,12/31/2011,2011,C,INDL,STD,D,USD,A,BALL CORP,4.2000,8630.9000,15.0000
001995,12/31/2011,2011,C,INDL,STD,D,USD,I,CONSTELLATION ENERGY GRP INC,.,13758.2000,7.9000
002002,12/31/2011,2011,C,INDL,STD,D,USD,A,POPULAR INC,.,2497.7780,8.3290
002005,12/31/2011,2011,C,INDL,STD,D,USD,A,BANK OF HAWAII CORP,.,637.3480,2.3700
002011,12/31/2011,2011,C,INDL,STD,D,USD,A,BANGOR HYDRO-ELECTRIC CO,.,169.1890,.
002019,12/31/2011,2011,C,INDL,STD,D,USD,A,BANK OF NEW YORK MELLON CORP,4.0000,15236.0000,48.7000
002025,12/31/2011,2011,C,INDL,STD,D,USD,A,BRE PROPERTIES INC,.,376.7650,0.6900
002044,12/31/2011,2011,C,INDL,STD,D,USD,A,BARD (C.R.) INC,.,2896.4000,12.1000
002049,12/31/2011,2011,C,INDL,STD,D,USD,A,BARNES GROUP INC,.,1169.3550,4.3870
002052,09/30/2011,2011,C,INDL,STD,D,USD,A,BARNWELL INDUSTRIES,.,36.9970,0.0400
002055,12/31/2011,2011,C,INDL,STD,D,USD,A,BARRICK GOLD CORP,.,14312.0000,.
002061,06/30/2011,2011,C,INDL,STD,D,USD,A,BARRY (R G) CORP,.,129.5680,0.1630
002073,03/31/2011,2010,C,INDL,STD,D,USD,A,EARTHSTONE ENERGY INC,.,8.2060,0.0100
002080,11/30/2011,2011,C,INDL,STD,D,USD,A,BASSETT FURNITURE INDS,80.1530,253.2080,1.3250
002086,12/31/2011,2011,C,INDL,STD,D,USD,A,BAXTER INTERNATIONAL INC,.,13893.0000,48.5000
002100,12/31/2011,2011,C,INDL,STD,D,USD,A,BEARD CO,.,1.2670,.
002101,06/30/2011,2011,C,INDL,STD,D,USD,A,APPLIED INDUSTRIAL TECH INC,.,2212.8490,4.6400
002111,09/30/2011,2011,C,INDL,STD,D,USD,A,BECTON DICKINSON & CO,.,7828.9040,29.3690
002124,12/31/2011,2011,C,INDL,STD,D,USD,A,BEL FUSE INC,.,295.1210,3.4510
002136,12/31/2011,2011,C,INDL,STD,D,USD,A,VERIZON COMMUNICATIONS INC,.,110875.0000,193.9000
002137,12/31/2011,2011,C,INDL,STD,D,CAD,A,BCE INC,.,19497.0000,55.2500
002150,12/31/2011,2011,C,INDL,STD,D,USD,A,BELO CORP  -SER A COM,2.9480,650.1420,2.7400
002154,12/31/2011,2011,C,INDL,STD,D,USD,A,BEMIS CO INC,0.7150,5322.6700,20.1650
002163,03/31/2011,2010,C,INDL,STD,D,USD,A,BENIHANA INC,.,327.6400,6.7000
002176,12/31/2011,2011,C,INDL,STD,D,USD,A,BERKSHIRE HATHAWAY,.,143570.0000,270.8580
002184,02/28/2011,2010,C,INDL,STD,D,USD,A,BEST BUY CO INC,4.5500,50272.0000,180.0000
002184,02/29/2012,2011,C,INDL,STD,D,USD,A,BEST BUY CO INC,48.0000,50705.0000,167.0000
002220,12/31/2011,2011,C,INDL,STD,D,USD,A,BIO-RAD LABORATORIES INC,.,2073.5290,7.0300
002222,12/31/2011,2011,C,INDL,STD,D,USD,A,SAVIENT PHARMACEUTICALS INC,.,9.5650,0.1730
002230,05/31/2011,2010,C,INDL,STD,D,USD,A,BIOMET INC,.,2732.2000,7.6780
002237,12/31/2011,2011,C,INDL,STD,D,USD,A,SPHERIX INC,.,0.8210,0.0100
002240,07/31/2011,2011,C,INDL,STD,D,USD,A,NON INVASIVE MONITOR,.,0.7430,0.0020
002259,12/31/2011,2011,C,INDL,STD,D,USD,A,BLACK HILLS CORP,.,1272.1880,2.0300
002269,04/30/2011,2010,C,INDL,STD,D,USD,A,BLOCK H & R INC,.,3774.2960,115.1000
002270,12/31/2011,2011,C,INDL,STD,D,USD,A,ENSCO PLC,.,2842.7000,8.0000
002271,12/31/2011,2011,C,INDL,STD,D,USD,A,BLOUNT INTL INC,.,831.6300,4.5000
002277,10/31/2011,2011,C,INDL,STD,D,USD,A,BLUE RIDGE REAL ESTATE CO,.,7.6390,0.0130
