"company","_freq","uname"
"ACT",179,"ACT"
"IMI",180,"IMI"
"DTZ",180,"DTZ"
"TTI",180,"TTI"
"CDS",181,"CDS"
"LG",181,"LG"
"Ask.com",183,"ASK"
"TPG",183,"TPG"
"TAC",184,"TAC"
"SMS",185,"SMS"
"CTC",185,"CTC"
"UOL",185,"UOL"
"SHL",186,"SHL"
"CIS",186,"CIS"
"CNT",186,"CNT"
"SSI",187,"SSI"
"NTT",187,"NTT"
"TSI",187,"TSI"
"ITV",187,"ITV"
"GfK",187,"GFK"
"SCS",188,"SCS"
"MCC",188,"MCC"
"MGM",188,"MGM"
"USi",189,"USI"
"SNT",189,"SNT"
"AES",189,"AES"
"LSI",190,"LSI"
"FSA",191,"FSA"
"CRI",191,"CRI"
"ge",192,"GE"
"ICM",193,"ICM"
"IMF",193,"IMF"
"BCP",194,"BCP"
"BYU",196,"BYU"
"BIC",196,"BIC"
"CSR",196,"CSR"
"BMG",197,"BMG"
"WRQ",197,"WRQ"
"ACC",198,"ACC"
"BBS",198,"BBS"
"BSG",201,"BSG"
"CCS",202,"CCS"
"SCB",202,"SCB"
"IBA",202,"IBA"
"IFF",202,"IFF"
"DND",202,"DND"
"ca",202,"CA"
"SIG",203,"SIG"
"IST",203,"IST"
"VML",203,"VML"
"CSA",203,"CSA"
"DBS",204,"DBS"
"CIC",204,"CIC"
"RSA",205,"RSA"
"MWH",206,"MWH"
"GSI",206,"GSI"
"TPS",207,"TPS"
"AA",207,"AA"
"FCG",207,"FCG"
"GSA",208,"GSA"
"aa",209,"AA"
"MSA",209,"MSA"
"LHS",209,"LHS"
"MFS",209,"MFS"
"AEP",209,"AEP"
"PDI",210,"PDI"
"HSN",210,"HSN"
"ABP",210,"ABP"
"BES",211,"BES"
"TCI",211,"TCI"
"ITG",211,"ITG"
"RAC",212,"RAC"
"H&M",213,"H&M"
"VRT",215,"VRT"
"BEC",217,"BEC"
"FSS",218,"FSS"
"BTC",218,"BTC"
"FNB",219,"FNB"
"OSI",220,"OSI"
"MLC",221,"MLC"
"TF1",221,"TF1"
"PCS",222,"PCS"
"SCT",222,"SCT"
"ESA",222,"ESA"
"GTS",222,"GTS"
"PT",223,"PT"
"HiQ",223,"HIQ"
"AMC",223,"AMC"
"ACI",223,"ACI"
"JPL",224,"JPL"
"CCC",224,"CCC"
"CPS",225,"CPS"
"APL",225,"APL"
"ICC",228,"ICC"
"DTU",229,"DTU"
"ADI",230,"ADI"
"IMC",230,"IMC"
"DOD",230,"DOD"
"JTI",231,"JTI"
"MPC",231,"MPC"
"EMI",232,"EMI"
"FT",233,"FT"
"SII",233,"SII"
"FBI",234,"FBI"
"sap",234,"SAP"
"NCS",234,"NCS"
"o2",234,"O2"
"TBD",236,"TBD"
"BAA",236,"BAA"
"NYU",237,"NYU"
"ML",237,"ML"
"AON",237,"AON"
"VTT",237,"VTT"
"DHS",239,"DHS"
"ICT",242,"ICT"
"ADT",243,"ADT"
"IMD",245,"IMD"
"TP",247,"TP"
"WFI",247,"WFI"
"BSI",248,"BSI"
"IHS",249,"IHS"
"JCI",249,"JCI"
"ECS",250,"ECS"
"CCI",251,"CCI"
"CVS",252,"CVS"
"IRS",252,"IRS"
"CTI",252,"CTI"
"URS",253,"URS"
"AGF",253,"AGF"
"REI",256,"REI"
"kpn",257,"KPN"
"ARC",257,"ARC"
"ONO",257,"ONO"
"UCL",259,"UCL"
"TPI",262,"TPI"
"CSS",263,"CSS"
"STM",264,"STM"
"no",266,"NO"
"SIA",267,"SIA"
"AGL",268,"AGL"
"IPC",268,"IPC"
"3i",268,"3I"
"MTI",269,"MTI"
"ITS",271,"ITS"
"CMS",271,"CMS"
"RCN",272,"RCN"
"KTH",273,"KTH"
"UBC",274,"UBC"
"tcs",274,"TCS"
"NRK",274,"NRK"
"GVT",274,"GVT"
"RHI",274,"RHI"
"IFC",274,"IFC"
"bt",277,"BT"
"NCC",283,"NCC"
"CSI",284,"CSI"
"SEI",284,"SEI"
"ATP",285,"ATP"
"ISC",285,"ISC"
"mci",287,"MCI"
"sun",288,"SUN"
"MDA",289,"MDA"
"IGT",289,"IGT"
"MSN",289,"MSN"
"ASI",289,"ASI"
"FCB",289,"FCB"
"DNV",290,"DNV"
"NXP",290,"NXP"
"SCO",291,"SCO"
"bp",291,"BP"
"DMR",291,"DMR"
"CBC",292,"CBC"
"QVC",292,"QVC"
"EDB",293,"EDB"
"ST",294,"ST"
"GFI",296,"GFI"
"STC",296,"STC"
"pwc",297,"PWC"
"BPI",299,"BPI"
"THQ",303,"THQ"
"FMC",304,"FMC"
"FAA",305,"FAA"
"BBN",305,"BBN"
"OMX",305,"OMX"
"WSI",306,"WSI"
"ETS",307,"ETS"
"PRC",308,"PRC"
"PSI",309,"PSI"
"CDM",309,"CDM"
"MOD",310,"MOD"
"IAG",311,"IAG"
"BI",311,"BI"
"GCI",311,"GCI"
"RCI",316,"RCI"
"Gap",316,"GAP"
"SCA",316,"SCA"
"SUN",317,"SUN"
"ICS",317,"ICS"
"DoD",318,"DOD"
"ASG",319,"ASG"
"ILM",319,"ILM"
"SRA",321,"SRA"
"MTS",321,"MTS"
"DSB",324,"DSB"
"GS",325,"GS"
"emc",326,"EMC"
"NIH",328,"NIH"
"ATS",331,"ATS"
"UMC",332,"UMC"
"CS",333,"CS"
"PMI",335,"PMI"
"BMO",335,"BMO"
"ubs",338,"UBS"
"H3G",338,"H3G"
"BDO",338,"BDO"
"S1",338,"S1"
"CMC",340,"CMC"
"CNH",342,"CNH"
"BOC",342,"BOC"
"MSD",345,"MSD"
"DB",348,"DB"
"ESI",349,"ESI"
"R/GA",351,"RGA"
"TXU",352,"TXU"
"ISI",354,"ISI"
"SBS",357,"SBS"
"ITC",358,"ITC"
"MSI",360,"MSI"
"USN",361,"USN"
"PBS",365,"PBS"
"HDS",365,"HDS"
"SSA",368,"SSA"
"MTN",369,"MTN"
"SG",379,"SG"
"TMN",383,"TMN"
"GXS",386,"GXS"
"CDC",388,"CDC"
"UN",390,"UN"
"IAF",390,"IAF"
"CEA",391,"CEA"
"SKF",391,"SKF"
"IMG",393,"IMG"
"VNU",395,"VNU"
"DDB",396,"DDB"
"aaa",397,"AAA"
"ITT",398,"ITT"
"IRI",406,"IRI"
"IDG",407,"IDG"
"CIT",407,"CIT"
"MRI",407,"MRI"
"C&W",410,"C&W"
"HBO",411,"HBO"
"Egg",422,"EGG"
"SGS",422,"SGS"
"Oce",423,"OCE"
"USC",424,"USC"
"ECI",430,"ECI"
"csc",431,"CSC"
"IMS",435,"IMS"
"IFS",436,"IFS"
"DEC",437,"DEC"
"AAA",450,"AAA"
"XYZ",450,"XYZ"
"DR",453,"DR"
"EY",457,"EY"
"iXL",459,"IXL"
"CAE",460,"CAE"
"QAD",460,"QAD"
"CDI",461,"CDI"
"PPD",461,"PPD"
"ACN",461,"ACN"
"ARM",470,"ARM"
"ATG",471,"ATG"
"ATI",478,"ATI"
"CBA",483,"CBA"
"UCB",486,"UCB"
"HCA",490,"HCA"
"MBT",492,"MBT"
"NAB",495,"NAB"
"ATT",509,"ATT"
"DBM",514,"DBM"
"AMP",519,"AMP"
"CPM",521,"CPM"
"BD",529,"BD"
"UWV",531,"UWV"
"NBC",533,"NBC"
"ICI",534,"ICI"
"MTV",536,"MTV"
"i2",548,"I2"
"PSA",552,"PSA"
"TIM",554,"TIM"
"E&Y",560,"E&Y"
"EFI",561,"EFI"
"KMD",566,"KMD"
"RIM",575,"RIM"
"TNO",593,"TNO"
"BMS",600,"BMS"
"SCC",605,"SCC"
"TI",614,"TI"
"OMD",619,"OMD"
"J&J",627,"J&J"
"MS",629,"MS"
"xyz",633,"XYZ"
"NDS",640,"NDS"
"IBS",644,"IBS"
"BAT",647,"BAT"
"KBR",651,"KBR"
"KBC",653,"KBC"
"INS",661,"INS"
"CNN",663,"CNN"
"ISS",668,"ISS"
"CBS",670,"CBS"
"NTL",672,"NTL"
"eds",694,"EDS"
"EDF",699,"EDF"
"TNS",703,"TNS"
"BMW",703,"BMW"
"ADC",709,"ADC"
"UPC",710,"UPC"
"GTE",725,"GTE"
"IDT",734,"IDT"
"CNA",735,"CNA"
"EA",747,"EA"
"CTG",751,"CTG"
"TNT",755,"TNT"
"BMC",757,"BMC"
"D&B",759,"D&B"
"BCG",788,"BCG"
"DSM",789,"DSM"
"IT",812,"IT"
"GM",825,"GM"
"APC",842,"APC"
"BEA",855,"BEA"
"TRW",856,"TRW"
"RBC",856,"RBC"
"CDW",898,"CDW"
"JWT",907,"JWT"
"Aon",962,"AON"
"CTS",975,"CTS"
"abc",978,"ABC"
"ntl",1007,"NTL"
"RBS",1039,"RBS"
"PWC",1048,"PWC"
"UGS",1075,"UGS"
"ANZ",1077,"ANZ"
"AMS",1104,"AMS"
"CMG",1109,"CMG"
"SEB",1134,"SEB"
"HCL",1137,"HCL"
"IDC",1150,"IDC"
"KLM",1200,"KLM"
"NEC",1209,"NEC"
"ABC",1224,"ABC"
"O2",1241,"O2"
"AXA",1302,"AXA"
"ICL",1305,"ICL"
"SFR",1350,"SFR"
"Sun",1370,"SUN"
"hp",1420,"HP"
"MIT",1421,"MIT"
"IDF",1480,"IDF"
"NHS",1567,"NHS"
"TDC",1821,"TDC"
"SAS",1941,"SAS"
"SGI",2047,"SGI"
"P&G",2054,"P&G"
"ibm",2109,"IBM"
"GSK",2212,"GSK"
"3M",2246,"3M"
"BBC",2340,"BBC"
"PTC",2347,"PTC"
"AIG",2354,"AIG"
"AMD",2393,"AMD"
"UPS",2463,"UPS"
"ACS",2554,"ACS"
"SBC",2554,"SBC"
"ABB",2693,"ABB"
"NCR",3379,"NCR"
"CGI",3623,"CGI"
"CA",3650,"CA"
"BP",3746,"BP"
"DHL",4141,"DHL"
"PwC",4293,"PWC"
"KPN",4342,"KPN"
"ADP",4396,"ADP"
"TCS",4473,"TCS"
"ING",4811,"ING"
"AOL",5688,"AOL"
"GE",6628,"GE"
"SAP",6920,"SAP"
"UBS",7395,"UBS"
"MCI",7818,"MCI"
"EMC",8327,"EMC"
"BT",8474,"BT"
"CSC",8603,"CSC"
"HP",19318,"HP"
"EDS",20574,"EDS"
"IBM",71301,"IBM"
